51 , 44
66 , 64
89 , 63
16 , 41
72 , 99
69 , 48
11 , 14
28 , 16
74 , 8
76 , 58
13 , 75
49 , 72
69 , 68
22 , 23
8 , 46
72 , 2
22 , 86
41 , 72
80 , 59
10 , 88
20 , 53
66 , 50
37 , 33
0 , 18
52 , 25
66 , 85
99 , 86
54 , 26
20 , 11
50 , 54
53 , 4
23 , 61
5 , 87
51 , 26
5 , 18
42 , 98
15 , 68
9 , 33
39 , 86
36 , 97
45 , 78
68 , 42
64 , 47
40 , 8
36 , 71
79 , 17
23 , 12
96 , 67
52 , 45
42 , 76
97 , 11
100 , 48
35 , 71
25 , 78
85 , 34
85 , 27
95 , 8
7 , 55
66 , 43
63 , 83
19 , 55
38 , 55
89 , 65
54 , 2
56 , 23
24 , 2
41 , 93
86 , 76
8 , 36
16 , 92
52 , 82
12 , 72
63 , 29
69 , 67
17 , 33
17 , 29
27 , 15
6 , 7
37 , 46
77 , 85
25 , 96
25 , 98
35 , 87
16 , 28
6 , 20
9 , 24
2 , 92
9 , 60
31 , 52
47 , 72
49 , 23
50 , 93
56 , 36
21 , 44
66 , 61
36 , 97
73 , 10
93 , 68
33 , 65
58 , 6
